Actor,Betweenness
Cate Blanchett,31068.40072041278
Samuel L. Jackson,28283.41036385124
Hugo Weaving,25672.096058005216
Jennifer Ehle,24751.0
Scarlett Johansson,22761.553258750577
Helena Bonham Carter,20944.0
Bill Murray,20649.382501729797
Liam Neeson,20492.795929382406
Ben Kingsley,17683.08191839338
Christopher Lee,17289.1966176333
Brad Dourif,16524.0
Gary Oldman,16418.17180319683
Brad Pitt,13776.0
William Fichtner,13622.10217781183
Matt Damon,12840.08876714846
Anthony Daniels,11910.111111111108
Danny DeVito,11431.0
Roger Corman,11303.60629583781
Robert De Niro,9667.187123987125
Harry Dean Stanton,8586.502485155765
Morgan Freeman,8455.449703412207
Jeremy Renner,8369.420664661453
Anthony Hopkins,8084.155817612331
Paul Dano,8064.0
Cobie Smulders,7440.665874740905
Christian Bale,7228.01108667901
Pete Postlethwaite,6702.670511433008
Clark Gregg,5906.55354935027
Jodie Foster,5896.384873741377
Stephen Tobolowsky,5599.0
Ray Winstone,5462.535753658571
Ciarán Hinds,5100.0
David Wenham,4617.232504353096
Jared Leto,4096.0
Tom Hanks,3983.773309645293
Robin Wright,3700.5322890072775
Michael Caine,2634.9666119392105
Cillian Murphy,2634.9666119392105
Tom Hanks,2521.023153899236
Frank Sivero,2193.0765900765905
Steve Buscemi,2075.040187590186
Jim Broadbent,2064.0
Kevin Costner,2064.0
Hugo Weaving,1947.2508470287862
Keanu Reeves,1681.8853893225792
Amy Adams,1645.1231538389168
Peter Greene,1634.288888888886
George Clooney,1551.0
Chris Pratt,1416.7933694683707
Jack Nicholson,1370.2757270077707
Peter Stormare,1326.5820346320347
Al Pacino,1168.9999999999998
James Caan,1168.9999999999998
Robert Duvall,1168.9999999999998
Diane Keaton,1168.9999999999998
Talia Shire,1168.9999999999998
John Cazale,1168.9999999999998
Meg Ryan,1112.916079096341
Cuba Gooding Jr.,981.1660773093431
Tom Hardy,960.2015964584581
Joseph Gordon-Levitt,960.2015964584581
Marion Cotillard,960.2015964584581
Ben Miles,930.208385323827
Kevin Bacon,857.894874642901
Tom Cruise,617.3738380041016
Gene Hackman,597.3489319890633
Bonnie Hunt,508.8376498501497
Rick Yune,451.12732896188794
James Cromwell,445.23293756896715
Kiefer Sutherland,439.39487734487716
Nathan Lane,387.5189935064935
Robin Williams,378.06099339257247
Max von Sydow,364.0081276566571
Steve Zahn,332.0885823069259
Helen Hunt,251.43237532591255
Jerry O'Connell,239.67792207792226
Charlize Theron,222.7226551226551
Greg Kinnear,200.24172311606532
Sam Rockwell,196.13782051282047
Nestor Carbonell,194.81051587301556
Marshall Bell,176.84040404040408
Bill Paxton,176.51964746639675
Rain,95.10952380952381
J.T. Walsh,84.33851313804877
Oliver Platt,82.85714285714286
Zach Grenier,66.20698906356803
Laurence Fishburne,40.60681605975724
Carrie-Anne Moss,40.60681605975724
Keanu Reeves,40.60681605975724
Gary Sinise,40.44783451842274
Philip Seymour Hoffman,40.05919824069981
Elijah Wood,33.39123419638123
Ian McKellen,33.39123419638123
Viggo Mortensen,33.39123419638123
Liv Tyler,33.39123419638123
Orlando Bloom,33.39123419638123
John Rhys-Davies,33.39123419638123
Sean Astin,33.39123419638123
Billy Boyd,33.39123419638123
Dominic Monaghan,33.39123419638123
Andy Serkis,33.39123419638123
Sean Bean,33.39123419638123
Gloria Foster,25.511111111111113
Rosie O'Donnell,23.211967418546358
Bernard Hill,18.232504353092594
Miranda Otto,18.232504353092594
Karl Urban,18.232504353092594
Ian Holm,7.660813176621991
Lawrence Makoare,7.660813176621991
Sarah McLeod,7.660813176621991
Marton Csokas,7.660813176621991
Craig Parker,7.497916666666662
Mark Hamill,6.111111111111111
Harrison Ford,6.111111111111111
Carrie Fisher,6.111111111111111
David Prowse,6.111111111111111
Peter Mayhew,6.111111111111111
James Earl Jones,6.111111111111111
